mora, romanji, repetitionsCount, dontKnowCount, practiceCount, masteredCount
ア,a,0,0,0,0
イ,i,0,0,0,0
ウ,u,0,0,0,0
エ,e,0,0,0,0
オ,o,0,0,0,0
ー,-,0,0,0,0
ァ,xa,0,0,0,0
ィ,xi,0,0,0,0
ゥ,xu,0,0,0,0
ェ,xe,0,0,0,0
ォ,xo,0,0,0,0
カ,ka,0,0,0,0
キ,ki,0,0,0,0
ク,ku,0,0,0,0
ケ,ke,0,0,0,0
コ,ko,0,0,0,0
ガ,ga,0,0,0,0
ギ,gi,0,0,0,0
グ,gu,0,0,0,0
ゲ,ge,0,0,0,0
ゴ,go,0,0,0,0
サ,sa,0,0,0,0
シ,shi,0,0,0,0
ス,su,0,0,0,0
セ,se,0,0,0,0
ソ,so,0,0,0,0
ザ,za,0,0,0,0
ジ,ji,0,0,0,0
ズ,zu,0,0,0,0
ゼ,ze,0,0,0,0
ゾ,zo,0,0,0,0
ジャ,ja,0,0,0,0
ジュ,ju,0,0,0,0
ジェ,je,0,0,0,0
ジョ,jo,0,0,0,0
タ,ta,0,0,0,0
チ,chi,0,0,0,0
ツ,tsu,0,0,0,0
テ,te,0,0,0,0
ト,to,0,0,0,0
ダ,da,0,0,0,0
ヂ,dji,0,0,0,0 
ヅ,dzu,0,0,0,0 
デ,de,0,0,0,0
ド,do,0,0,0,0
ナ,na,0,0,0,0
ニ,ni,0,0,0,0
ヌ,nu,0,0,0,0
ネ,ne,0,0,0,0
ノ,no,0,0,0,0
ハ,ha,0,0,0,0
ヒ,hi,0,0,0,0
フ,fu,0,0,0,0
ヘ,he,0,0,0,0
ホ,ho,0,0,0,0
バ,ba,0,0,0,0
ビ,bi,0,0,0,0
ブ,bu,0,0,0,0
ベ,be,0,0,0,0
ボ,bo,0,0,0,0
パ,pa,0,0,0,0
ピ,pi,0,0,0,0
プ,pu,0,0,0,0
ペ,pe,0,0,0,0
ポ,po,0,0,0,0
ヴァ,va,0,0,0,0
ヴィ,vi,0,0,0,0
ヴ,vu,0,0,0,0
ヴェ,ve,0,0,0,0
ヴォ,vo,0,0,0,0
ファ,fa,0,0,0,0
フィ,fi,0,0,0,0
フェ,fe,0,0,0,0
フォ,fo,0,0,0,0
マ,ma,0,0,0,0
ミ,mi,0,0,0,0
ム,mu,0,0,0,0
メ,me,0,0,0,0
モ,mo,0,0,0,0
ヤ,ya,0,0,0,0
ユ,yu,0,0,0,0
イェ,ye,0,0,0,0
ヨ,yo,0,0,0,0
ラ,ra,0,0,0,0
リ,ri,0,0,0,0
ル,ru,0,0,0,0
レ,re,0,0,0,0
ロ,ro,0,0,0,0
ワ,wa,0,0,0,0
ヰ,wi,0,0,0,0
ヱ,we,0,0,0,0
ヲ,wo,0,0,0,0
ン,n,0,0,0,0
ヵ,xka,0,0,0,0
ヶ,ga,0,0,0,0
ヮ,xwa,0,0,0,0
ャ,xya,0,0,0,0
ュ,xyu,0,0,0,0
ョ,xyo,0,0,0,0
キャ,kya,0,0,0,0
キィ,kyi,0,0,0,0
キュ,kyu,0,0,0,0
キェ,kye,0,0,0,0
キョ,kyo,0,0,0,0
ギャ,gya,0,0,0,0
ギィ,gyi,0,0,0,0
ギュ,gyu,0,0,0,0
ギェ,gye,0,0,0,0
ギョ,gyo,0,0,0,0
シャ,sha,0,0,0,0
シィ,syi,0,0,0,0
シュ,shu,0,0,0,0
シェ,she,0,0,0,0
ショ,sho,0,0,0,0
ジィ,jyi,0,0,0,0
チャ,cha,0,0,0,0
チィ,cyi,0,0,0,0
チュ,chu,0,0,0,0
チェ,che,0,0,0,0
チョ,cho,0,0,0,0
テャ,tha,0,0,0,0
ティ,thi,0,0,0,0
テュ,thu,0,0,0,0
テェ,the,0,0,0,0
テョ,tho,0,0,0,0
ヂャ,dya,0,0,0,0
ヂィ,dyi,0,0,0,0
ヂュ,dyu,0,0,0,0
ヂェ,dye,0,0,0,0
ヂョ,dyo,0,0,0,0
デャ,dha,0,0,0,0
ディ,dhi,0,0,0,0
デュ,dhu,0,0,0,0
